Date,NomFR,Heure,site,longitude,latitude
2024-03-08,Murin de Daubenton,21,Entrée,-0.3853797913,44.7167335603
2024-07-05,Barbatiste pyreneen,6,Labat,-0.3820672631,44.7143621141
2024-07-23,Petit Rhinolophe,23,Bois,-0.3774109483,44.7149057142
2024-07-25,Petit Rhinolophe,5,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Serotine commune,2,Aplomb,-0.3806054591,44.7167962612
2024-03-07,Murin groupe Natterer,22,Entrée,-0.3853797913,44.7167335603
2024-07-25,Pipistrelle de Kuhl,1,Aplomb,-0.3806054591,44.7167962612
2024-05-30,Noctule de Leisler,3,Bas Glanan,-0.3770622611,44.7172574513
2024-07-23,Pipistrelle de Kuhl,22,Bois,-0.3774109483,44.7149057142
2024-05-31,Barbastelle d'Europe,1,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Lampyre sp.,22,Garenne,-0.3852939606,44.7161770169
2024-03-08,Murin groupe Natterer,18,Entrée,-0.3853797913,44.7167335603
2024-06-01,Noctule de Leisler,3,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Ecaille pudique,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle commune,3,Labat,-0.3820672631,44.7143621141
2024-07-24,Noctule de Leisler,5,Bois,-0.3774109483,44.7149057142
2024-05-30,Serotine commune,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-26,Pipistrelle de Kuhl,2,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Noctule de Leisler,3,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Pipistrelle commune,5,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Serotine commune,4,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Ecaille pudique,1,Garenne,-0.3852939606,44.7161770169
2024-07-24,Noctule de Leisler,4,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle de Kuhl,6,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Phaneroptere liliace,20,Garenne,-0.3852939606,44.7161770169
2024-07-23,Pipistrelle commune,22,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Pipistrelle de Kuhl,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-25,Pipistrelle commune,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle commune,23,Bas Glanan,-0.3770622611,44.7172574513
2024-07-25,Pipistrelle commune,22,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Noctule de Leisler,23,Bas Glanan,-0.3770622611,44.7172574513
2024-07-03,Phaneroptere liliace,21,Labat,-0.3820672631,44.7143621141
2024-07-25,Noctule de Leisler,4,Aplomb,-0.3806054591,44.7167962612
2024-03-08,Serotine commune,18,Entrée,-0.3853797913,44.7167335603
2024-07-26,Murin de grande taille,23,Aplomb,-0.3806054591,44.7167962612
2024-03-09,Murin groupe Natterer,19,Entrée,-0.3853797913,44.7167335603
2024-07-24,Pipistrelle commune,4,Labat,-0.3820672631,44.7143621141
2024-07-23,Pipistrelle commune,23,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle de Kuhl,22,Bois,-0.3774109483,44.7149057142
2024-07-26,Pipistrelle commune,2,Aplomb,-0.3806054591,44.7167962612
2024-05-30,Barbatiste pyreneen,17,Bas Glanan,-0.3770622611,44.7172574513
2024-07-25,Serotine commune,5,Labat,-0.3820672631,44.7143621141
2024-07-25,Noctule de Leisler,23,Aplomb,-0.3806054591,44.7167962612
2024-03-08,Murin de Daubenton,1,Château,-0.3834056854,44.7177627705
2024-07-24,Pipistrelle commune,6,Labat,-0.3820672631,44.7143621141
2024-07-23,Noctule de Leisler,22,Aplomb,-0.3806054591,44.7167962612
2024-07-03,Lampyre sp.,22,Garenne,-0.3852939606,44.7161770169
2024-07-24,Pipistrelle commune,5,Bois,-0.3774109483,44.7149057142
2024-07-23,Pipistrelle de Kuhl,23,Bas Glanan,-0.3770622611,44.7172574513
2024-07-23,Murin groupe Natterer,23,Bois,-0.3774109483,44.7149057142
2024-05-30,Pipistrelle commune,0,Bas Glanan,-0.3770622611,44.7172574513
2024-03-09,Petit Rhinolophe,2,Château,-0.3834056854,44.7177627705
2024-07-26,Pipistrelle commune,22,Aplomb,-0.3806054591,44.7167962612
2024-07-04,Lampyre sp.,22,Labat,-0.3820672631,44.7143621141
2024-06-01,Noctule de Leisler,0,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Noctule de Leisler,2,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Noctule de Leisler,5,Bas Glanan,-0.3770622611,44.7172574513
2024-07-23,Pipistrelle commune,22,Labat,-0.3820672631,44.7143621141
2024-07-24,Pipistrelle commune,22,Bois,-0.3774109483,44.7149057142
2024-07-06,Phaneroptere liliace,4,Labat,-0.3820672631,44.7143621141
2024-07-03,Phaneroptere liliace,21,Garenne,-0.3852939606,44.7161770169
2024-05-30,Ecaille pudique,21,Garenne,-0.3852939606,44.7161770169
2024-06-01,Noctule de Leisler,1,Garenne,-0.3852939606,44.7161770169
2024-05-31,Murin de grande taille,4,Garenne,-0.3852939606,44.7161770169
2024-07-26,Pipistrelle commune,4,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle commune,1,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Murin groupe Natterer,19,Garenne,-0.3852939606,44.7161770169
2024-07-25,Noctule de Leisler,22,Aplomb,-0.3806054591,44.7167962612
